Company,Carbon,Average Fraction of total lifetime,Year released,,,,,,,,
Apple,24.75,0.45,2009,,,,,,,,
,,,,,,,,,,,
Apple,25.65,0.57,2010,,,,,,,,
,,,,,,,,,,,
Samsung,17.71,0.69,2012,,,,,,,,
,,,,,,,,,,,
Apple,52,0.8,2013,,,,,,,,
,,,,,,,,,,,
Apple,43.2,0.8,2015,,,,,,,,
Sony,47.9,0.84,2015,,,,,,,,
Samsung,14.075,0.625,2015,,,,,,,,
,,,,,,,,,,,
Apple,47.97,0.78,2016,,,,,,,,
Huawei,47.67,0.82375,2016,,,,,,,,
Samsung,15.97,0.56,2016,,,,,,,,
,,,,,,,,,,,
Apple,54.17,0.797,2017,,,,,,,,
Huawei,50.612,0.82776,2017,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,12.79,0.53,2017,,,,,,,,
,,,,,,,,,,,
Apple,54.88333333,0.7866666667,2018,,,,,,,,
Google,49.475,0.726,2018,,,,,,,,
Huawei,56.41533333,0.8398666667,2018,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Apple,63.45333333,0.8,2019,,,,,,,,
Google,47.6875,0.78,2019,,,,,,,,
Huawei,61.75,0.8621875,2019,,,,,,,,
,,,,,,,,,,,
Apple,60.284,0.84,2020,,,,,,,,
Google,48.75,0.76,2020,,,,,,https://sustainability.google/reports/,,
Huawei,66.12,0.856875,2020,,,,,,,,
Samsung,9.47,0.46,2020,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Apple,61.26666667,0.8166666667,2021,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Google,73.375,0.815,2021,,,,,,,,
Huawei,66.34,0.8505,2021,,,,,,,,
Samsung,12.7825,0.46,2021,,,,,,,,
,,,,,,,,,,,
Samsung,8.63,0.39,2022,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,https://images.samsung.com/is/content/samsung/p5/ve/dd/environment/files/2018_Life_Cycle_Assessment_for_Mobile_Phones_180622.pdf
