Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:44:39   0.0   0.0   0.0 100.0   0.0    2   3308   1700   1.62 
16:44:39  50.0   0.0   3.1  46.9   0.0    2    566    372   1.74 
16:44:40   0.0   0.0   0.0  99.7   0.2    1   2278    440   0.84 
16:44:40  50.0   0.0  50.0   0.0   0.0    1   1442    584   0.74 
16:44:41   0.0   0.0   0.0  99.9   0.1    1    908    360   0.65 
16:44:41   3.9   0.0   5.9  88.2   2.0    1    464    218   0.60 
16:44:42  57.9   0.0  42.1   0.0   0.0    5   7116   1772   3.16 
16:44:42   0.0   0.0   0.0 100.0   0.0    2   4028   1990   1.55 
16:44:43  49.5   0.0   4.0  46.5   0.0    2    508    354   1.55 
16:44:43   0.0   0.0   0.0  99.7   0.2    3   2530    710   0.63 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:44:44  11.5   0.0  13.5  75.0   0.0    1    676    232   0.64 
16:44:44   4.0   0.0   4.0  92.0   0.0    1    374    162   0.79 
16:44:45   0.0   0.0   6.4  93.6   0.0    1    438    178   0.66 
16:44:45  60.6   0.0  39.4   0.0   0.0    5   4130    630   2.94 
16:44:46   0.0   0.0   0.0 100.0   0.0    2   4284   2050   0.95 
16:44:46  50.0   0.0   5.1  44.9   0.0    2    648    392   1.54 
16:44:47  71.4   0.0  28.6   0.0   0.0    1   2316    734   1.27 
16:44:47   0.0   0.0   0.0  99.9   0.1    1    862    354   0.63 
16:44:48   2.2   0.0   2.2  95.7   0.0    1    498    192   0.68 
16:44:48   0.0   0.0   4.3  95.7   0.0    1    438    218   0.74 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:44:49  61.2   0.0  38.8   0.0   0.0    6   5820   1904   3.03 
16:44:49   0.0   0.0   0.0 100.0   0.0    2   7068   3730   1.86 
16:44:50  49.5   0.0   4.2  46.3   0.0    2    888    620   1.80 
16:44:50   0.0   0.0   0.0  99.7   0.2   10   3260    948   1.02 
16:44:51   8.9   0.0   2.2  88.9   0.0    1    792    286   0.94 
16:44:51  72.0   0.0  28.0   0.0   0.0    1   2714   1108   1.39 
16:44:52   0.0   0.0   0.0  99.9   0.1    1    986    408   0.73 
16:44:52  54.3   0.0  45.7   0.0   0.0    8   3172    384   2.57 
16:44:53   0.0   0.0   0.0  99.9   0.0    4   5388   2126   2.05 
16:44:53  49.0   0.0   5.0  46.0   0.0    2    700    426   1.56 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:44:54  74.4   0.0  25.6   0.0   0.0    1   2626   1058   1.15 
16:44:54   0.0   0.0   0.0  99.9   0.1    1   1012    438   0.88 
16:44:55   6.1   0.0   4.1  89.8   0.0    1    478    214   0.57 
16:44:55   2.0   0.0   8.0  90.0   0.0    1    412    182   0.64 
16:44:56  50.0   0.0  50.0   0.0   0.0    6   2506    332   1.93 
16:44:56  77.5   0.0  22.5   0.0   0.0    3   5350   2080   2.51 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:44:57   0.0   0.0   0.0  99.9   0.0    2   3896   1984   1.73 
16:44:57  81.0   0.0  19.0   0.0   0.0    1   2582    866   1.37 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
16:44:58   0.0   0.0   0.0  99.9   0.1    1   1024    414   0.65 
16:44:58  68.6   0.0  31.4   0.0   0.0    1   3154   1216   1.86 
16:44:59   0.0   0.0   0.0  99.9   0.1    9   3158   1758   1.17 
16:44:59  52.2   0.0  47.8   0.0   0.0    3   2158    362   1.62 
16:45:00  75.2   0.0  24.8   0.0   0.0    2   6028   1942   1.88 
16:45:00   0.0   0.0   0.0 100.0   0.0    2   1280    820   1.64 
16:45:01  49.5   0.0   6.4  44.0   0.0    1   2328    574   1.44 
16:45:01   0.0   0.0   0.0  99.9   0.1    1    960    428   0.72 
